branch_and_bound_dfs,5,1,0.400875
branch_and_bound_dfs,5,1,0.18825
branch_and_bound_dfs,5,1,0.549959
branch_and_bound_dfs,10,1,10.5493
branch_and_bound_dfs,15,1,654.719
branch_and_bound_dfs,5,20,0.211281
branch_and_bound_dfs,7,20,0.695779
branch_and_bound_dfs,7,20,0.183513
branch_and_bound_dfs,7,20,0.829352
branch_and_bound_dfs,7,20,0.754977
branch_and_bound_dfs,7,20,0.815031
branch_and_bound_dfs,7,1000,0.759125
branch_and_bound_dfs,7,1000,0.69234
branch_and_bound_dfs,7,1000,1.00892
branch_and_bound_dfs,7,1000,0.723122
branch_and_bound_dfs,7,1000,0.710568
branch_and_bound_dfs,8,10,2.90988
branch_and_bound_dfs,8,100,2.24219
